! #lon(deg), lat(deg), depth(km), dVs(%), dVp(%), drho(%)
108.950 -4.419 5421.000 3.000 0.000 0.000
108.950 -4.419 5431.000 3.000 0.000 0.000
108.950 -4.419 5441.000 3.000 0.000 0.000
108.950 -4.419 5451.000 3.000 0.000 0.000
108.950 -4.419 5461.000 3.000 0.000 0.000
108.950 -4.419 5471.000 3.000 0.000 0.000
109.699 -4.419 5371.000 3.000 0.000 0.000
109.699 -4.419 5381.000 3.000 0.000 0.000
109.699 -4.419 5391.000 3.000 0.000 0.000
109.699 -4.419 5401.000 3.000 0.000 0.000
109.699 -4.419 5411.000 3.000 0.000 0.000
109.699 -4.419 5421.000 3.000 0.000 0.000
109.699 -4.419 5431.000 3.000 0.000 0.000
109.699 -4.419 5441.000 3.000 0.000 0.000
109.699 -4.419 5451.000 3.000 0.000 0.000
109.699 -4.419 5461.000 3.000 0.000 0.000
109.699 -4.419 5471.000 3.000 0.000 0.000
110.447 -4.419 5371.000 3.000 0.000 0.000
110.447 -4.419 5381.000 3.000 0.000 0.000
110.447 -4.419 5391.000 3.000 0.000 0.000
110.447 -4.419 5401.000 3.000 0.000 0.000
110.447 -4.419 5411.000 3.000 0.000 0.000
110.447 -4.419 5421.000 3.000 0.000 0.000
110.447 -4.419 5431.000 3.000 0.000 0.000
110.447 -4.419 5441.000 3.000 0.000 0.000
110.447 -4.419 5451.000 3.000 0.000 0.000
110.447 -4.419 5461.000 3.000 0.000 0.000
110.447 -4.419 5471.000 3.000 0.000 0.000
111.195 -4.419 5371.000 3.000 0.000 0.000
111.195 -4.419 5381.000 3.000 0.000 0.000
111.195 -4.419 5391.000 3.000 0.000 0.000
111.195 -4.419 5401.000 3.000 0.000 0.000
111.195 -4.419 5411.000 3.000 0.000 0.000
111.195 -4.419 5421.000 3.000 0.000 0.000
111.195 -4.419 5431.000 3.000 0.000 0.000
111.195 -4.419 5441.000 3.000 0.000 0.000
111.195 -4.419 5451.000 3.000 0.000 0.000
111.195 -4.419 5461.000 3.000 0.000 0.000
111.195 -4.419 5471.000 3.000 0.000 0.000
111.943 -4.419 5371.000 3.000 0.000 0.000
111.943 -4.419 5381.000 3.000 0.000 0.000
111.943 -4.419 5391.000 3.000 0.000 0.000
111.943 -4.419 5401.000 3.000 0.000 0.000
111.943 -4.419 5411.000 3.000 0.000 0.000
111.943 -4.419 5421.000 3.000 0.000 0.000
111.943 -4.419 5431.000 3.000 0.000 0.000
111.943 -4.419 5441.000 3.000 0.000 0.000
111.943 -4.419 5451.000 3.000 0.000 0.000
111.943 -4.419 5461.000 3.000 0.000 0.000
111.943 -4.419 5471.000 3.000 0.000 0.000
112.691 -4.419 5371.000 3.000 0.000 0.000
112.691 -4.419 5381.000 3.000 0.000 0.000
112.691 -4.419 5391.000 3.000 0.000 0.000
112.691 -4.419 5401.000 3.000 0.000 0.000
112.691 -4.419 5411.000 3.000 0.000 0.000
112.691 -4.419 5421.000 3.000 0.000 0.000
112.691 -4.419 5431.000 3.000 0.000 0.000
112.691 -4.419 5441.000 3.000 0.000 0.000
112.691 -4.419 5451.000 3.000 0.000 0.000
112.691 -4.419 5461.000 3.000 0.000 0.000
112.691 -4.419 5471.000 3.000 0.000 0.000
113.439 -4.419 5371.000 3.000 0.000 0.000
113.439 -4.419 5381.000 3.000 0.000 0.000
113.439 -4.419 5391.000 3.000 0.000 0.000
113.439 -4.419 5401.000 3.000 0.000 0.000
113.439 -4.419 5411.000 3.000 0.000 0.000
113.439 -4.419 5421.000 3.000 0.000 0.000
113.439 -4.419 5431.000 3.000 0.000 0.000
113.439 -4.419 5441.000 3.000 0.000 0.000
113.439 -4.419 5451.000 3.000 0.000 0.000
113.439 -4.419 5461.000 3.000 0.000 0.000
113.439 -4.419 5471.000 3.000 0.000 0.000
114.188 -4.419 5371.000 3.000 0.000 0.000
114.188 -4.419 5381.000 3.000 0.000 0.000
114.188 -4.419 5391.000 3.000 0.000 0.000
114.188 -4.419 5401.000 3.000 0.000 0.000
114.188 -4.419 5411.000 3.000 0.000 0.000
114.188 -4.419 5421.000 3.000 0.000 0.000
114.188 -4.419 5431.000 3.000 0.000 0.000
114.188 -4.419 5441.000 3.000 0.000 0.000
114.188 -4.419 5451.000 3.000 0.000 0.000
114.188 -4.419 5461.000 3.000 0.000 0.000
114.188 -4.419 5471.000 3.000 0.000 0.000
114.936 -4.419 5371.000 3.000 0.000 0.000
114.936 -4.419 5381.000 3.000 0.000 0.000
114.936 -4.419 5391.000 3.000 0.000 0.000
114.936 -4.419 5401.000 3.000 0.000 0.000
114.936 -4.419 5411.000 3.000 0.000 0.000
114.936 -4.419 5421.000 3.000 0.000 0.000
114.936 -4.419 5431.000 3.000 0.000 0.000
114.936 -4.419 5441.000 3.000 0.000 0.000
114.936 -4.419 5451.000 3.000 0.000 0.000
114.936 -4.419 5461.000 3.000 0.000 0.000
114.936 -4.419 5471.000 3.000 0.000 0.000
115.684 -4.419 5371.000 3.000 0.000 0.000
115.684 -4.419 5381.000 3.000 0.000 0.000
115.684 -4.419 5391.000 3.000 0.000 0.000
115.684 -4.419 5401.000 3.000 0.000 0.000
115.684 -4.419 5411.000 3.000 0.000 0.000
115.684 -4.419 5421.000 3.000 0.000 0.000
115.684 -4.419 5431.000 3.000 0.000 0.000
115.684 -4.419 5441.000 3.000 0.000 0.000
115.684 -4.419 5451.000 3.000 0.000 0.000
115.684 -4.419 5461.000 3.000 0.000 0.000
115.684 -4.419 5471.000 3.000 0.000 0.000
116.432 -4.419 5371.000 3.000 0.000 0.000
116.432 -4.419 5381.000 3.000 0.000 0.000
116.432 -4.419 5391.000 3.000 0.000 0.000
116.432 -4.419 5401.000 3.000 0.000 0.000
116.432 -4.419 5411.000 3.000 0.000 0.000
116.432 -4.419 5421.000 3.000 0.000 0.000
116.432 -4.419 5431.000 3.000 0.000 0.000
